host,dns_status,first_ip,is_private,tls_status,tls_version,http_status,http_code,time_ms
maddennfl.beta.easports.com,NXDOMAIN,,False,SKIPPED,,SKIPPED,,
ldrun51.abn-iad.ea.com,NXDOMAIN,,False,SKIPPED,,SKIPPED,,
ldrun50.abn-iad.ea.com,NXDOMAIN,,False,SKIPPED,,SKIPPED,,
ldrun56.abn-iad.ea.com,NXDOMAIN,,False,SKIPPED,,SKIPPED,,
ldrun57.abn-iad.ea.com,NXDOMAIN,,False,SKIPPED,,SKIPPED,,
ldrun54.abn-iad.ea.com,NXDOMAIN,,False,SKIPPED,,SKIPPED,,
ldrun58.abn-iad.ea.com,NXDOMAIN,,False,SKIPPED,,SKIPPED,,
ldrun53.abn-iad.ea.com,NXDOMAIN,,False,SKIPPED,,SKIPPED,,
ldrun52.abn-iad.ea.com,NXDOMAIN,,False,SKIPPED,,SKIPPED,,
madden.cert.ondemand.easports.com,NXDOMAIN,,False,SKIPPED,,SKIPPED,,
ldrun55.abn-iad.ea.com,NXDOMAIN,,False,SKIPPED,,SKIPPED,,
ldrun60.abn-iad.ea.com,NXDOMAIN,,False,SKIPPED,,SKIPPED,,
ldrun64.abn-iad.ea.com,NXDOMAIN,,False,SKIPPED,,SKIPPED,,
ldrun63.abn-iad.ea.com,NXDOMAIN,,False,SKIPPED,,SKIPPED,,
ldrun68.abn-iad.ea.com,NXDOMAIN,,False,SKIPPED,,SKIPPED,,
ldrun61.abn-iad.ea.com,NXDOMAIN,,False,SKIPPED,,SKIPPED,,
ldrun66.abn-iad.ea.com,NXDOMAIN,,False,SKIPPED,,SKIPPED,,
ldrun62.abn-iad.ea.com,NXDOMAIN,,False,SKIPPED,,SKIPPED,,
ldrun67.abn-iad.ea.com,NXDOMAIN,,False,SKIPPED,,SKIPPED,,
ldrun70.abn-iad.ea.com,NXDOMAIN,,False,SKIPPED,,SKIPPED,,
ldrun69.abn-iad.ea.com,NXDOMAIN,,False,SKIPPED,,SKIPPED,,
ldrun73.abn-iad.ea.com,NXDOMAIN,,False,SKIPPED,,SKIPPED,,
ldrun79.abn-iad.ea.com,NXDOMAIN,,False,SKIPPED,,SKIPPED,,
ldrun75.abn-iad.ea.com,NXDOMAIN,,False,SKIPPED,,SKIPPED,,
ldrun81.abn-iad.ea.com,NXDOMAIN,,False,SKIPPED,,SKIPPED,,
ldrun77.abn-iad.ea.com,NXDOMAIN,,False,SKIPPED,,SKIPPED,,
ldrun74.abn-iad.ea.com,NXDOMAIN,,False,SKIPPED,,SKIPPED,,
ldrun71.abn-iad.ea.com,NXDOMAIN,,False,SKIPPED,,SKIPPED,,
ldrun76.abn-iad.ea.com,NXDOMAIN,,False,SKIPPED,,SKIPPED,,
ldrun80.abn-iad.ea.com,NXDOMAIN,,False,SKIPPED,,SKIPPED,,
ldrun85.abn-iad.ea.com,NXDOMAIN,,False,SKIPPED,,SKIPPED,,
ldrun82.abn-iad.ea.com,NXDOMAIN,,False,SKIPPED,,SKIPPED,,
ldrun78.abn-iad.ea.com,NXDOMAIN,,False,SKIPPED,,SKIPPED,,
ldrun87.abn-iad.ea.com,NXDOMAIN,,False,SKIPPED,,SKIPPED,,
ldrun83.abn-iad.ea.com,NXDOMAIN,,False,SKIPPED,,SKIPPED,,
ldrun88.abn-iad.ea.com,NXDOMAIN,,False,SKIPPED,,SKIPPED,,
ldrun84.abn-iad.ea.com,NXDOMAIN,,False,SKIPPED,,SKIPPED,,
eaogameweb09.eao.abn.ea.com,NXDOMAIN,,False,SKIPPED,,SKIPPED,,
ldrun90.abn-iad.ea.com,NXDOMAIN,,False,SKIPPED,,SKIPPED,,
eaogameweb08.eao.abn.ea.com,NXDOMAIN,,False,SKIPPED,,SKIPPED,,
eaogameweb07.eao.abn.ea.com,NXDOMAIN,,False,SKIPPED,,SKIPPED,,
ldrun89.abn-iad.ea.com,NXDOMAIN,,False,SKIPPED,,SKIPPED,,
ldrun86.abn-iad.ea.com,NXDOMAIN,,False,SKIPPED,,SKIPPED,,
eaogameweb06.eao.abn.ea.com,NXDOMAIN,,False,SKIPPED,,SKIPPED,,
chef.abn-iad.ea.com,NXDOMAIN,,False,SKIPPED,,SKIPPED,,
madden.api.easports.com,OK,54.229.248.237,False,ERROR,,ERROR,,
madden.test.api.easports.com,OK,52.17.212.73,False,ERROR,,ERROR,,
madden.load.api.easports.com,OK,54.247.172.65,False,ERROR,,ERROR,,
madden.cert.api.easports.com,OK,52.48.109.26,False,ERROR,,ERROR,,
uxdepot.abn-iad.ea.com,OK,159.153.49.19,False,ERROR,,OK,401,1374
maddennfl.alpha.easports.com,OK,159.153.219.198,False,TIMEOUT,,TIMEOUT,,
www.madden.easports.com,OK,159.153.234.85,False,TIMEOUT,,TIMEOUT,,
madden.easports.com,OK,159.153.234.85,False,TIMEOUT,,TIMEOUT,,
569856-maddenlb3.ea.com,OK,108.166.42.92,False,TIMEOUT,,TIMEOUT,,
maddennfl.easports.com,OK,174.143.124.181,False,TIMEOUT,,TIMEOUT,,
betacsrapp01.beta.eao.abn-iad.ea.com,OK,10.72.209.25,True,TIMEOUT,,TIMEOUT,,
647522-gosltmdb767.ea.com,OK,89.234.46.169,False,TIMEOUT,,TIMEOUT,,
472199-gosltapp353.ea.com,OK,94.236.78.231,False,TIMEOUT,,TIMEOUT,,
560010-gosprmdb0824.ea.com,OK,108.166.45.72,False,TIMEOUT,,TIMEOUT,,
418450-gosprapp546.ea.com,OK,37.188.104.37,False,TIMEOUT,,TIMEOUT,,
